schulnummer,schulname,description_generated,error,is_private_school,tuition_monthly_eur,tuition_annual_eur,registration_fee_eur,material_fee_annual_eur,meal_plan_monthly_eur,after_school_care_monthly_eur,scholarship_available,income_based_tuition,tuition_notes,tuition_source_url,sources,generated_at
10K15,15. Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school; no tuition or fees mentioned. Potential costs for materials or trips not specified in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29854,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29854,2026-01-19T20:57:38.949721
11K16,16. Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school; no tuition fees. Potential minor costs for materials or excursions not detailed in sources.,"https://www.11k16.schule, https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29839",https://www.11k16.schule; https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29839,2026-01-19T20:57:53.195930
11K17,17. Schule (Integrierte Sekundarschule) Neugründung zum 01.08.2026,False,No website available,False,,,,,,,,,No website available for research,,,2026-01-19T20:58:08.305236
01S06,Albert-Gutzmann-Schule,True,,False,,,,,,,False,False,"Public school (öffentlich); no tuition fees. Ganztagbetreuung provided via external partner ALBASPROSS gGmbH, but specific costs not detailed.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28906,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28906,2026-01-19T20:58:10.311145
12K11,Albrecht-Haushofer-Schule,True,,False,,,,,,,False,False,Public school (Öffentlich); no tuition fees. Standard public school costs for materials or trips may apply but not detailed in sources.,https://www.sekundarschulen-berlin.de/albrecht-haushofer-schule,https://www.sekundarschulen-berlin.de/albrecht-haushofer-schule,2026-01-19T20:58:25.346202
02K09,Albrecht-von-Graefe-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,"Public school (öffentlich); no tuition fees. Potential incidental costs for materials, trips, or meals via Freizeit und Verpflegung not specified.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=29431,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=29431; https://www.albrecht-von-graefe-schule.de.[1,2026-01-19T20:58:41.020844
11K01,Alexander-Puschkin-Schule,True,,False,,,,,,,False,False,Public school; no tuition fees. Potential incidental costs for materials or meals not specified in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29339,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29339,2026-01-19T20:58:56.546521
08K11,Alfred-Nobel-Schule,True,,False,,,,,,,,,"Public school with no tuition fees. Optional costs may include materials, school trips, and cafeteria meals, but specific amounts are not publicly documented.",https://www.berlin.de/ (Berlin education authority),https://alfred-nobel-schule.de; https://www.berlin.de/,2026-01-19T20:59:10.022840
12K06,Benjamin-Franklin-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,"Public school; no tuition. No specific costs for materials, meals, or after-school care found in public sources.","N/A (public school, no tuition info required or found)",https://benjamin-franklin-schule.de,2026-01-19T20:59:29.617528
03P37,Berlin Bilingual School (Integrierte Sekundarschule),True,,True,,,,,,,,,No tuition or fee details publicly available from school website or other sources.,https://www.berlin-bilingual-school.de,https://www.berlin-bilingual-school.de,2026-01-19T20:48:00.515373
